,date,type
245,2013-01-19,holiday
246,2013-01-20,holiday
247,2013-01-26,holiday
248,2013-01-27,holiday
249,2013-02-02,holiday
250,2013-02-03,holiday
251,2013-02-09,holiday
252,2013-02-10,holiday
253,2013-02-16,holiday
254,2013-02-17,holiday
255,2013-02-23,holiday
256,2013-02-24,holiday
257,2013-03-02,holiday
258,2013-03-03,holiday
259,2013-03-08,holiday
260,2013-03-09,holiday
261,2013-03-10,holiday
262,2013-03-16,holiday
263,2013-03-17,holiday
264,2013-03-23,holiday
265,2013-03-24,holiday
266,2013-03-30,holiday
267,2013-03-31,holiday
268,2013-04-06,holiday
269,2013-04-07,holiday
270,2013-04-13,holiday
271,2013-04-14,holiday
272,2013-04-20,holiday
273,2013-04-21,holiday
274,2013-04-27,holiday
275,2013-04-28,holiday
276,2013-05-01,holiday
277,2013-05-02,holiday
278,2013-05-03,holiday
279,2013-05-04,holiday
280,2013-05-05,holiday
281,2013-05-09,holiday
282,2013-05-10,holiday
283,2013-05-11,holiday
284,2013-05-12,holiday
285,2013-05-18,holiday
286,2013-05-19,holiday
287,2013-05-25,holiday
288,2013-05-26,holiday
289,2013-06-01,holiday
290,2013-06-02,holiday
291,2013-06-08,holiday
292,2013-06-09,holiday
293,2013-06-12,holiday
294,2013-06-15,holiday
295,2013-06-16,holiday
296,2013-06-22,holiday
297,2013-06-23,holiday
298,2013-06-29,holiday
299,2013-06-30,holiday
300,2013-07-06,holiday
301,2013-07-07,holiday
302,2013-07-13,holiday
303,2013-07-14,holiday
304,2013-07-20,holiday
305,2013-07-21,holiday
306,2013-07-27,holiday
307,2013-07-28,holiday
308,2013-08-03,holiday
309,2013-08-04,holiday
310,2013-08-10,holiday
311,2013-08-11,holiday
312,2013-08-17,holiday
313,2013-08-18,holiday
314,2013-08-24,holiday
315,2013-08-25,holiday
316,2013-08-31,holiday
317,2013-09-01,holiday
318,2013-09-07,holiday
319,2013-09-08,holiday
320,2013-09-14,holiday
321,2013-09-15,holiday
322,2013-09-21,holiday
323,2013-09-22,holiday
324,2013-09-28,holiday
325,2013-09-29,holiday
326,2013-10-05,holiday
327,2013-10-06,holiday
328,2013-10-12,holiday
329,2013-10-13,holiday
330,2013-10-19,holiday
331,2013-10-20,holiday
332,2013-10-26,holiday
333,2013-10-27,holiday
334,2013-11-02,holiday
335,2013-11-03,holiday
336,2013-11-04,holiday
337,2013-11-09,holiday
338,2013-11-10,holiday
339,2013-11-16,holiday
340,2013-11-17,holiday
341,2013-11-23,holiday
342,2013-11-24,holiday
343,2013-11-30,holiday
